year,month,count
2000,1,7904
2000,2,7378
2000,3,7886
2000,4,7676
2000,5,7744
2000,6,7643
2000,7,7614
2000,8,7531
2000,9,8093
2000,10,8638
2000,11,7939
2000,12,7934
2001,1,7736
2001,2,7087
2001,3,7629
2001,4,7530
2001,5,8267
2001,6,7899
2001,7,7889
2001,8,7789
2001,9,8297
2001,10,8979
2001,11,8496
2001,12,8448
2002,1,8155
2002,2,7611
2002,3,8668
2002,4,8052
2002,5,8261
2002,6,8158
2002,7,7543
2002,8,7434
2002,9,8093
2002,10,8554
2002,11,8125
2002,12,8162
2003,1,8068
2003,2,7460
2003,3,8435
2003,4,8088
2003,5,7977
2003,6,7987
2003,7,7426
2003,8,7579
2003,9,7492
2003,10,7888
2003,11,7947
2003,12,7659
2004,1,7841
2004,2,7738
2004,3,7833
2004,4,7453
2004,5,7854
2004,6,7403
2004,7,7275
2004,8,7501
2004,9,7279
2004,10,8365
2004,11,7360
2004,12,7500
2005,1,7762
2005,2,7080
2005,3,7737
2005,4,7496
2005,5,7861
2005,6,7325
2005,7,7519
2005,8,7054
2005,9,7487
2005,10,7868
2005,11,7510
2005,12,7518
2006,1,7724
2006,2,7599
2006,3,9482
2006,4,9288
2006,5,11319
2006,6,11693
2006,7,11141
2006,8,11293
2006,9,11720
2006,10,12245
2006,11,11915
2006,12,11525
2007,1,12071
2007,2,10898
2007,3,12429
2007,4,11458
2007,5,12125
2007,6,11871
2007,7,11973
2007,8,11176
2007,9,11532
2007,10,12004
2007,11,11473
2007,12,11602
2008,1,12299
2008,2,11691
2008,3,12393
2008,4,12012
2008,5,11887
2008,6,11821
2008,7,11595
2008,8,12144
2008,9,12242
2008,10,12989
2008,11,12174
2008,12,11721
2009,1,12212
2009,2,11771
2009,3,14199
2009,4,12498
2009,5,12642
2009,6,12021
2009,7,11775
2009,8,11745
2009,9,12686
2009,10,13237
2009,11,12413
2009,12,12719
2010,1,12888
2010,2,11697
2010,3,12992
2010,4,12241
2010,5,12498
2010,6,12164
2010,7,11296
2010,8,11558
2010,9,12128
2010,10,12430
2010,11,11291
2010,12,10166
2011,1,11445
2011,2,10460
2011,3,12043
2011,4,11137
2011,5,11360
2011,6,11315
2011,7,10769
2011,8,12374
2011,9,15217
2011,10,15141
2011,11,14958
2011,12,15017
2012,1,16734
2012,2,13303
2012,3,12074
2012,4,11345
2012,5,14206
2012,6,10955
2012,7,10803
2012,8,11192
2012,9,10334
2012,10,9239
2012,11,8524
2012,12,7968
2013,1,8496
2013,2,8103
2013,3,10307
2013,4,10248
2013,5,9317
2013,6,8945
2013,7,8017
2013,8,7890
2013,9,8757
2013,10,9038
2013,11,8527
2013,12,8512
2014,1,8922
2014,2,8497
2014,3,8970
2014,4,8502
2014,5,8815
2014,6,9058
2014,7,8237
2014,8,8148
2014,9,8932
2014,10,9224
2014,11,8357
2014,12,8048
2015,1,11698
2015,2,7561
2015,3,8397
2015,4,7768
2015,5,7973
2015,6,7888
2015,7,7893
2015,8,7435
2015,9,8273
2015,10,8499
2015,11,7777
2015,12,7582
2016,1,7644
2016,2,7297
2016,3,7502
2016,4,6699
2016,5,6802
2016,6,6640
2016,7,6120
2016,8,5268
2016,9,5904
2016,10,5792
2016,11,5418
2016,12,5073
2017,1,5205
2017,2,6253
2017,3,5650
2017,4,4979
2017,5,5337
2017,6,5356
2017,7,4828
2017,8,6976
2017,9,7416
2017,10,7545
2017,11,6600
2017,12,6599
2018,1,6903
2018,2,6660
2018,3,7299
2018,4,6852
2018,5,7421
2018,6,7474
2018,7,6645
2018,8,6237
2018,9,7102
2018,10,7658
2018,11,6727
2018,12,6291
2019,1,6977
2019,2,6559
2019,3,7353
2019,4,6933
2019,5,2936
