year,month,appearance,positive2
2000,1,14,0.5714285714285714
2000,2,7,0.42857142857142855
2000,3,11,0.5
2000,4,46,0.4891304347826087
2000,5,34,0.6029411764705882
2000,6,44,0.5
2000,7,10,0.55
2000,8,7,0.7142857142857143
2000,9,12,0.4166666666666667
2000,10,14,0.5357142857142857
2000,11,12,0.5416666666666666
2000,12,8,0.625
2001,1,15,0.5666666666666667
2001,2,11,0.6363636363636364
2001,3,11,0.45454545454545453
2001,4,7,0.5714285714285714
2001,5,7,0.6428571428571429
2001,6,13,0.6153846153846154
2001,7,19,0.5
2001,8,13,0.46153846153846156
2001,9,18,0.5277777777777778
2001,10,17,0.5588235294117647
2001,11,20,0.625
2001,12,12,0.625
2002,1,9,0.5555555555555556
2002,2,7,0.7142857142857143
2002,3,14,0.5
2002,4,22,0.5227272727272727
2002,5,12,0.5
2002,6,13,0.6923076923076923
2002,7,6,0.4166666666666667
2002,8,6,0.8333333333333334
2002,9,6,0.8333333333333334
2002,10,7,0.6428571428571429
2002,11,19,0.5789473684210527
2002,12,1,0.0
2003,1,10,0.5
2003,2,5,0.4
2003,3,5,0.6
2003,4,3,0.16666666666666666
2003,5,8,0.5
2003,6,5,0.7
2003,7,8,0.375
2003,8,4,0.375
2003,9,6,0.4166666666666667
2003,10,9,0.7222222222222222
2003,11,6,0.5
2003,12,5,0.6
2004,1,6,0.6666666666666666
2004,2,8,0.625
2004,3,16,0.59375
2004,4,8,0.375
2004,5,5,0.6
2004,6,9,0.5555555555555556
2004,7,14,0.6071428571428571
2004,8,4,0.75
2004,9,5,0.7
2004,10,6,0.5
2004,11,10,0.45
2004,12,3,0.3333333333333333
2005,1,5,0.4
2005,2,4,0.75
2005,3,6,0.5833333333333334
2005,4,11,0.7727272727272727
2005,5,10,0.65
2005,6,5,0.5
2005,7,7,0.5
2005,8,1,0.5
2005,9,11,0.5454545454545454
2005,10,8,0.75
2005,11,7,0.5
2005,12,6,0.4166666666666667
2006,1,5,0.5
2006,2,7,0.42857142857142855
2006,3,20,0.575
2006,4,23,0.5217391304347826
2006,5,28,0.6071428571428571
2006,6,16,0.625
2006,7,28,0.6071428571428571
2006,8,13,0.5
2006,9,14,0.6071428571428571
2006,10,10,0.4
2006,11,18,0.5277777777777778
2006,12,2,0.5
2007,1,12,0.5416666666666666
2007,2,11,0.5
2007,3,20,0.675
2007,4,9,0.6666666666666666
2007,5,16,0.59375
2007,6,16,0.5625
2007,7,12,0.5833333333333334
2007,8,14,0.5357142857142857
2007,9,22,0.5681818181818182
2007,10,28,0.5892857142857143
2007,11,9,0.5555555555555556
2007,12,5,0.6
2008,1,18,0.6111111111111112
2008,2,81,0.5370370370370371
2008,3,19,0.5
2008,4,33,0.5151515151515151
2008,5,57,0.5350877192982456
2008,6,26,0.4807692307692308
2008,7,29,0.5172413793103449
2008,8,9,0.6111111111111112
2008,9,13,0.6923076923076923
2008,10,13,0.6923076923076923
2008,11,11,0.5454545454545454
2008,12,9,0.6111111111111112
2009,1,16,0.5
2009,2,10,0.7
2009,3,13,0.5384615384615384
2009,4,14,0.5
2009,5,10,0.6
2009,6,15,0.6333333333333333
2009,7,24,0.4791666666666667
2009,8,13,0.6153846153846154
2009,9,8,0.375
2009,10,14,0.5357142857142857
2009,11,10,0.55
2009,12,11,0.45454545454545453
2010,1,13,0.6153846153846154
2010,2,5,0.7
2010,3,7,0.7142857142857143
2010,4,5,0.5
2010,5,8,0.6875
2010,6,6,0.3333333333333333
2010,7,8,0.5
2010,8,2,0.5
2010,9,10,0.7
2010,10,22,0.5909090909090909
2010,11,11,0.5909090909090909
2010,12,3,0.6666666666666666
2011,1,4,0.375
2011,2,8,0.625
2011,3,3,0.5
2011,4,13,0.38461538461538464
2011,5,14,0.6071428571428571
2011,6,4,0.5
2011,7,7,0.42857142857142855
2011,8,4,0.5
